NoName[Time]	construct_null[ParticleNumber]	construct_pls1con_rbsA_cIts[ParticleNumber]	construct_mRNA_rbsA_cIts[ParticleNumber]	construct_protein_cIts[ParticleNumber]	construct_pls1con_rbsA_cIts_x[ParticleNumber]	compartment1[Volume]	binding_rate[Value]	release_rate[Value]	k_pls1con_transcription[Value]	k_pls1con_transcription_x[Value]	k_rbsA_translation[Value]	k_cIts_mRNA_degr[Value]	k_cIts_protein_degr[Value]
0.71	2.78775e+024	6.02214e+023	2.08403e+024	5.3187e+025	1.65068e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.72	2.80808e+024	6.02214e+023	1.98257e+024	5.3313e+025	1.68891e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.73	2.82741e+024	6.02214e+023	1.88439e+024	5.34164e+025	1.7269e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.74	2.84578e+024	6.02214e+023	1.78966e+024	5.34981e+025	1.76465e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.75	2.86322e+024	6.02214e+023	1.69854e+024	5.35592e+025	1.80213e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.76	2.87977e+024	6.02214e+023	1.61115e+024	5.36009e+025	1.83932e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.77	2.89546e+024	6.02214e+023	1.52763e+024	5.36242e+025	1.87622e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.78	2.91033e+024	6.02214e+023	1.44808e+024	5.36303e+025	1.91279e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.79	2.92443e+024	6.02214e+023	1.37261e+024	5.36203e+025	1.94904e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.8	2.9378e+024	6.02214e+023	1.30129e+024	5.35954e+025	1.98495e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.81	2.95047e+024	6.02214e+023	1.2342e+024	5.35568e+025	2.0205e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.82	2.96249e+024	6.02214e+023	1.17139e+024	5.35055e+025	2.05569e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.83	2.97391e+024	6.02214e+023	1.11291e+024	5.34428e+025	2.09051e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.84	2.98477e+024	6.02214e+023	1.05879e+024	5.33698e+025	2.12494e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.85	2.9951e+024	6.02214e+023	1.00905e+024	5.32876e+025	2.159e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.86	3.00496e+024	6.02214e+023	9.6369e+023	5.31975e+025	2.19266e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.87	3.01439e+024	6.02214e+023	9.22712e+023	5.31006e+025	2.22592e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.88	3.02343e+024	6.02214e+023	8.86097e+023	5.29979e+025	2.25879e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.89	3.03213e+024	6.02214e+023	8.53817e+023	5.28906e+025	2.29126e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.9	3.04052e+024	6.02214e+023	8.25834e+023	5.27798e+025	2.32333e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.91	3.04866e+024	6.02214e+023	8.021e+023	5.26665e+025	2.355e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.92	3.05658e+024	6.02214e+023	7.82556e+023	5.25517e+025	2.38627e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.93	3.06432e+024	6.02214e+023	7.67133e+023	5.24366e+025	2.41715e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.94	3.07193e+024	6.02214e+023	7.55755e+023	5.2322e+025	2.44764e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.95	3.07945e+024	6.02214e+023	7.48337e+023	5.22089e+025	2.47774e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.96	3.08691e+024	6.02214e+023	7.44785e+023	5.20983e+025	2.50746e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.97	3.09436e+024	6.02214e+023	7.44998e+023	5.1991e+025	2.5368e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.98	3.10183e+024	6.02214e+023	7.48867e+023	5.18879e+025	2.56578e+025	1	1	0.9	50	0.00833333	25	1	0.1
0.99	3.10935e+024	6.02214e+023	7.56278e+023	5.17898e+025	2.5944e+025	1	1	0.9	50	0.00833333	25	1	0.1
1	3.11696e+024	6.02214e+023	7.67111e+023	5.16975e+025	2.62266e+025	1	1	0.9	50	0.00833333	25	1	0.1
